Transaction_ID,Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Customer_Segment,Payment_Method
TX-12525,2024-12-06,CUST-0042,Laptop Sleeve, accessories,3.0,29.99,south,Small Business,Cash
TX-12922,2025-07-27,CUST-0004,Noise-Cancelling Headphones,Electronics ,1.0,250.0, North ,Small Business,Bank Transfer
TX-10889,2024-07-05,CUST-0202,Whiteboard,Office Supplies,5.0,79.99,south,Corporate,Credit Card
TX-10657,2025-07-14,CUST-0143,Laptop Sleeve, accessories,2.0,28.19, North ,Consumer,Credit Card
TX-14316,2024-02-10,CUST-0304,Whiteboard,Office Supplies,2.0,79.99, North ,Corporate,PayPal
TX-10838,2025-11-19,CUST-0268,Wireless Mouse, accessories,1.0,49.99,West,Small Business,PayPal
TX-12344,2025-02-28,CUST-0218,Noise-Cancelling Headphones,Electronics ,3.0,250.0,East,Consumer,Credit Card
TX-12146,2025-09-08,CUST-0315,Desk Mat, accessories,3.0,25.0, North ,Small Business,Credit Card
TX-10199,2025-02-06,CUST-0271,Premium Tablet,Electronics ,1.0,600.0,West,Consumer,Credit Card
TX-12846,2024-10-03,CUST-0073,Wireless Mouse, accessories,3.0,49.99,East,Small Business,Bank Transfer
TX-14391,2024-07-12,CUST-0350,Desk Mat, accessories,1.0,25.0,south,Consumer,Credit Card
TX-14713,2025-04-04,CUST-0017,Mechanical Keyboard, accessories,3.0,80.99,south,Corporate,Cash
TX-10084,2025-09-24,CUST-0236,USB-C Multi-Hub, accessories,1.0,39.99,south,Consumer,Cash
TX-11117,2024-04-01,CUST-0056,Laptop Sleeve, accessories,3.0,29.99,south,Consumer,PayPal
TX-10393,2025-05-08,CUST-0033,Premium Notebook,Office Supplies,3.0,15.5,East,Consumer,Bank Transfer
TX-10033,2025-01-26,,Whiteboard,Office Supplies,2.0,79.99,West,Small Business,PayPal
TX-11370,2024-01-10,CUST-0305,Gel Pens 12-Pack,Office Supplies,1.0,12.99, North ,Consumer,Cash
TX-13639,2025-12-03,CUST-0042,Desk Mat, accessories,2.0,25.0,south,Small Business,PayPal
TX-12796,2024-08-05,CUST-0366,Standing Desk,Office Supplies,8.0,450.0,West,Corporate,Credit Card
TX-14100,2024-05-23,CUST-0274,Smartwatch,Electronics ,4.0,164.0,East,Small Business,Credit Card
TX-13040,2024-10-01,CUST-0372,Standing Desk,Office Supplies,7.0,450.0,East,Corporate,Credit Card
TX-14367,2025-05-27,CUST-0004,Pro Laptop,Electronics ,4.0,1200.0, North ,Small Business,Credit Card
