Transaction_ID,Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Region,Customer_Segment,Payment_Method,Total_Revenue
TX-12525,2024-12-06,CUST-0042,Laptop Sleeve,Accessories,3,29.99,South,Small Business,Cash,89.97
TX-12922,2025-07-27,CUST-0004,Noise-Cancelling Headphones,Electronics,1,250.0,North,Small Business,Bank Transfer,250.0
TX-10889,2024-07-05,CUST-0202,Whiteboard,Office Supplies,5,79.99,South,Corporate,Credit Card,399.95
TX-10657,2025-07-14,CUST-0143,Laptop Sleeve,Accessories,2,28.19,North,Consumer,Credit Card,56.38
TX-14316,2024-02-10,CUST-0304,Whiteboard,Office Supplies,2,79.99,North,Corporate,PayPal,159.98
TX-10838,2025-11-19,CUST-0268,Wireless Mouse,Accessories,1,49.99,West,Small Business,PayPal,49.99
TX-12344,2025-02-28,CUST-0218,Noise-Cancelling Headphones,Electronics,3,250.0,East,Consumer,Credit Card,750.0
TX-12146,2025-09-08,CUST-0315,Desk Mat,Accessories,3,25.0,North,Small Business,Credit Card,75.0
TX-10199,2025-02-06,CUST-0271,Premium Tablet,Electronics,1,600.0,West,Consumer,Credit Card,600.0
TX-12846,2024-10-03,CUST-0073,Wireless Mouse,Accessories,3,49.99,East,Small Business,Bank Transfer,149.97
TX-14391,2024-07-12,CUST-0350,Desk Mat,Accessories,1,25.0,South,Consumer,Credit Card,25.0
TX-14713,2025-04-04,CUST-0017,Mechanical Keyboard,Accessories,3,80.99,South,Corporate,Cash,242.96999999999997
TX-10084,2025-09-24,CUST-0236,USB-C Multi-Hub,Accessories,1,39.99,South,Consumer,Cash,39.99
TX-11117,2024-04-01,CUST-0056,Laptop Sleeve,Accessories,3,29.99,South,Consumer,PayPal,89.97
TX-10393,2025-05-08,CUST-0033,Premium Notebook,Office Supplies,3,15.5,East,Consumer,Bank Transfer,46.5
TX-10033,2025-01-26,CUST-UNKNOWN,Whiteboard,Office Supplies,2,79.99,West,Small Business,PayPal,159.98
TX-11370,2024-01-10,CUST-0305,Gel Pens 12-Pack,Office Supplies,1,12.99,North,Consumer,Cash,12.99
TX-13639,2025-12-03,CUST-0042,Desk Mat,Accessories,2,25.0,South,Small Business,PayPal,50.0
TX-12796,2024-08-05,CUST-0366,Standing Desk,Office Supplies,8,450.0,West,Corporate,Credit Card,3600.0
TX-14100,2024-05-23,CUST-0274,Smartwatch,Electronics,4,164.0,East,Small Business,Credit Card,656.0
TX-13040,2024-10-01,CUST-0372,Standing Desk,Office Supplies,7,450.0,East,Corporate,Credit Card,3150.0
TX-14367,2025-05-27,CUST-0004,Pro Laptop,Electronics,4,1200.0,North,Small Business,Credit Card,4800.0
TX-10373,2024-01-13,CUST-0320,Laptop Sleeve,Accessories,4,29.99,South,Consumer,Credit Card,119.96
TX-13566,2024-06-18,CUST-0376,Pro Laptop,Electronics,4,1200.0,South,Consumer,PayPal,4800.0
TX-12172,2024-03-19,CUST-0160,Wireless Mouse,Accessories,1,45.49,South,Small Business,Bank Transfer,45.49
TX-11864,2024-12-15,CUST-0066,Whiteboard,Office Supplies,4,71.19,North,Small Business,Credit Card,284.76
TX-11181,2024-07-06,CUST-0182,Whiteboard,Office Supplies,3,79.99,East,Consumer,Bank Transfer,239.96999999999997
TX-13225,2025-02-25,CUST-0032,Pro Laptop,Electronics,7,1200.0,South,Corporate,Credit Card,8400.0
TX-11721,2025-12-11,CUST-0272,Noise-Cancelling Headphones,Electronics,4,250.0,West,Corporate,Credit Card,1000.0
TX-10486,2025-10-18,CUST-0069,USB-C Multi-Hub,Accessories,4,39.99,East,Consumer,Cash,159.96
TX-13290,2025-03-01,CUST-0236,4K Monitor,Electronics,4,350.0,South,Consumer,Cash,1400.0
TX-10065,2024-08-21,CUST-0212,Gel Pens 12-Pack,Office Supplies,8,12.99,North,Corporate,Cash,103.92
TX-11209,2024-07-15,CUST-0075,Ergonomic Chair,Office Supplies,2,299.99,North,Small Business,Credit Card,599.98
TX-10168,2025-07-28,CUST-0167,Desk Mat,Accessories,4,25.0,North,Small Business,Bank Transfer,100.0
TX-14533,2024-02-16,CUST-0108,Pro Laptop,Electronics,4,984.0,South,Corporate,PayPal,3936.0
TX-14109,2025-02-10,CUST-0203,Wireless Mouse,Accessories,2,43.49,South,Small Business,PayPal,86.98
TX-12825,2024-10-13,CUST-0254,Laptop Sleeve,Accessories,3,29.99,North,Consumer,Credit Card,89.97
TX-10746,2025-04-05,CUST-0009,Noise-Cancelling Headphones,Electronics,1,250.0,North,Small Business,Bank Transfer,250.0
TX-13154,2025-09-14,CUST-0081,Mechanical Keyboard,Accessories,4,99.99,North,Consumer,Bank Transfer,399.96
TX-10977,2024-01-29,CUST-0074,4K Monitor,Electronics,4,350.0,South,Small Business,Credit Card,1400.0
TX-10296,2025-03-29,CUST-0045,Premium Tablet,Electronics,3,600.0,East,Corporate,Cash,1800.0
TX-13903,2024-02-15,CUST-0117,Premium Tablet,Electronics,3,600.0,East,Consumer,Cash,1800.0
TX-10731,2024-05-02,CUST-0045,Mechanical Keyboard,Accessories,8,99.99,South,Corporate,PayPal,799.92
TX-14310,2024-09-15,CUST-0336,Premium Tablet,Electronics,7,600.0,North,Corporate,Bank Transfer,4200.0
TX-14883,2025-05-22,CUST-UNKNOWN,Smartwatch,Electronics,1,200.0,East,Consumer,Cash,200.0
TX-11699,2024-06-10,CUST-0215,Premium Tablet,Electronics,2,600.0,East,Consumer,PayPal,1200.0
TX-11872,2024-10-06,CUST-0161,Laptop Sleeve,Accessories,2,29.99,East,Consumer,PayPal,59.98
TX-11101,2024-05-08,CUST-0047,4K Monitor,Electronics,2,350.0,South,Small Business,PayPal,700.0
TX-14746,2024-10-10,CUST-0252,Gel Pens 12-Pack,Office Supplies,1,12.08,East,Consumer,Credit Card,12.08
TX-10079,2025-09-05,CUST-0029,Premium Tablet,Electronics,6,600.0,South,Corporate,PayPal,3600.0
TX-11038,2024-04-13,CUST-0347,Smartwatch,Electronics,3,200.0,West,Corporate,Bank Transfer,600.0
TX-12826,2024-06-12,CUST-0139,Standing Desk,Office Supplies,1,450.0,East,Consumer,Credit Card,450.0
TX-13656,2024-12-15,CUST-0121,Laptop Sleeve,Accessories,1,29.99,West,Consumer,PayPal,29.99
TX-13260,2025-09-02,CUST-0019,Pro Laptop,Electronics,4,1200.0,West,Consumer,PayPal,4800.0
TX-11197,2024-01-08,CUST-0080,USB-C Multi-Hub,Accessories,5,39.99,East,Corporate,Cash,199.95000000000002
TX-11200,2024-05-16,CUST-0203,Premium Notebook,Office Supplies,1,15.5,South,Small Business,PayPal,15.5
TX-10106,2025-04-25,CUST-0100,Whiteboard,Office Supplies,4,79.99,North,Small Business,Cash,319.96
TX-13738,2025-04-17,CUST-0376,Desk Mat,Accessories,4,25.0,South,Consumer,Cash,100.0
TX-11832,2024-09-15,CUST-0144,Wireless Mouse,Accessories,4,49.99,North,Small Business,Bank Transfer,199.96
TX-11094,2025-09-23,CUST-0389,Noise-Cancelling Headphones,Electronics,2,250.0,East,Small Business,Cash,500.0
TX-14476,2025-03-17,CUST-0025,Wireless Mouse,Accessories,1,49.99,East,Small Business,Credit Card,49.99
TX-13235,2025-09-17,CUST-0009,Standing Desk,Office Supplies,3,423.0,North,Small Business,PayPal,1269.0
TX-11272,2025-05-30,CUST-0052,Mechanical Keyboard,Accessories,1,99.99,South,Small Business,Cash,99.99
TX-11020,2024-12-14,CUST-0267,Pro Laptop,Electronics,4,1200.0,West,Consumer,Credit Card,4800.0
TX-11330,2024-04-15,CUST-0299,USB-C Multi-Hub,Accessories,4,39.99,North,Corporate,PayPal,159.96
TX-12484,2024-08-21,CUST-0196,USB-C Multi-Hub,Accessories,4,39.99,West,Small Business,PayPal,159.96
TX-14655,2025-12-03,CUST-0122,Mechanical Keyboard,Accessories,8,99.99,East,Corporate,PayPal,799.92
TX-10751,2025-09-22,CUST-0113,Premium Tablet,Electronics,4,600.0,West,Small Business,Bank Transfer,2400.0
TX-13658,2024-03-12,CUST-0308,Mechanical Keyboard,Accessories,7,99.99,North,Corporate,Credit Card,699.93
TX-12341,2025-11-18,CUST-0398,4K Monitor,Electronics,8,350.0,North,Corporate,PayPal,2800.0
TX-14635,2024-07-03,CUST-0190,Ergonomic Chair,Office Supplies,2,299.99,South,Consumer,PayPal,599.98
TX-11335,2025-01-15,CUST-0075,Ergonomic Chair,Office Supplies,1,299.99,North,Small Business,Bank Transfer,299.99
TX-11421,2025-07-26,CUST-0035,Gel Pens 12-Pack,Office Supplies,4,12.99,South,Small Business,Credit Card,51.96
TX-11427,2024-12-03,CUST-0340,Premium Tablet,Electronics,9,600.0,West,Corporate,Credit Card,5400.0
TX-13317,2024-07-08,CUST-0100,Premium Tablet,Electronics,4,600.0,North,Small Business,Bank Transfer,2400.0
TX-11041,2025-03-15,CUST-0126,4K Monitor,Electronics,2,350.0,North,Consumer,Bank Transfer,700.0
TX-11503,2024-09-24,CUST-0346,Gel Pens 12-Pack,Office Supplies,4,12.99,East,Small Business,Cash,51.96
TX-10856,2025-12-13,CUST-0163,Whiteboard,Office Supplies,8,79.99,South,Corporate,Bank Transfer,639.92
TX-13922,2024-12-18,CUST-UNKNOWN,Gel Pens 12-Pack,Office Supplies,4,12.99,South,Small Business,Bank Transfer,51.96
